,Unnamed: 0,lat,lng,datetime,uid,date,time,tile_ID,year,month,day,hour,newTime,time_hour,day_of_week,day_name,value
53,53,39.999497,116.323903,2008-11-16 08:56:00,0,16/11/2008,2021-09-18 08:56:27,63,2008,11,16,8,2008-11-16 08:00:00,08:00:00,6,Weekend,1
54,54,39.998616,116.324511,2008-11-17 05:18:00,0,17/11/2008,2021-09-18 05:18:33,63,2008,11,17,5,2008-11-17 05:00:00,05:00:00,0,Weekend,1
55,55,40.003418,116.325154,2008-11-17 15:59:00,0,17/11/2008,2021-09-18 15:59:58,63,2008,11,17,15,2008-11-17 15:00:00,15:00:00,0,Weekend,1
56,56,40.00737,116.319556,2008-11-17 16:17:00,0,17/11/2008,2021-09-18 16:17:38,63,2008,11,17,16,2008-11-17 16:00:00,16:00:00,0,Weekend,1
71,71,39.994259,116.325632,2008-11-23 10:30:00,0,23/11/2008,2021-09-18 10:30:08,63,2008,11,23,10,2008-11-23 10:00:00,10:00:00,6,Weekend,1
72,72,40.007157,116.319321,2008-01-12 11:35:00,0,01/12/2008,2021-09-18 11:35:15,63,2008,12,1,11,2008-01-12 11:00:00,11:00:00,0,Weekend,1
88,88,39.995825,116.327565,2008-12-14 01:24:00,0,14/12/2008,2021-09-18 01:24:31,63,2008,12,14,1,2008-12-14 01:00:00,01:00:00,6,Weekend,1
89,89,40.007267,116.320678,2009-03-30 00:59:00,0,30/03/2009,2021-09-18 00:59:58,63,2009,3,30,0,2009-03-30 00:00:00,00:00:00,0,Weekend,1
90,90,40.007921,116.319483,2009-03-30 01:06:00,0,30/03/2009,2021-09-18 01:06:18,63,2009,3,30,1,2009-03-30 01:00:00,01:00:00,0,Weekend,1
91,91,40.006755,116.32527,2009-03-30 03:59:00,0,30/03/2009,2021-09-18 03:59:57,63,2009,3,30,3,2009-03-30 03:00:00,03:00:00,0,Weekend,1
92,92,40.005777,116.326383,2009-03-30 04:03:00,0,30/03/2009,2021-09-18 04:03:07,63,2009,3,30,4,2009-03-30 04:00:00,04:00:00,0,Weekend,1
93,93,40.000051,116.327378,2009-03-30 05:59:00,0,30/03/2009,2021-09-18 05:59:55,63,2009,3,30,5,2009-03-30 05:00:00,05:00:00,0,Weekend,1
94,94,40.000119,116.326433,2009-03-30 06:21:00,0,30/03/2009,2021-09-18 06:21:25,63,2009,3,30,6,2009-03-30 06:00:00,06:00:00,0,Weekend,1
95,95,40.009797,116.322118,2009-03-30 09:48:00,0,30/03/2009,2021-09-18 09:48:50,63,2009,3,30,9,2009-03-30 09:00:00,09:00:00,0,Weekend,1
96,96,40.00007,116.327339,2009-03-30 10:20:00,0,30/03/2009,2021-09-18 10:20:15,63,2009,3,30,10,2009-03-30 10:00:00,10:00:00,0,Weekend,1
97,97,40.004801,116.324275,2009-03-30 15:59:00,0,30/03/2009,2021-09-18 15:59:56,63,2009,3,30,15,2009-03-30 15:00:00,15:00:00,0,Weekend,1
98,98,40.00983,116.315233,2009-03-30 16:11:00,0,30/03/2009,2021-09-18 16:11:06,63,2009,3,30,16,2009-03-30 16:00:00,16:00:00,0,Weekend,1
160,160,39.999893,116.328573,2009-05-04 05:59:00,0,05/04/2009,2021-09-18 05:59:58,63,2009,4,5,5,2009-05-04 05:00:00,05:00:00,6,Weekend,1
161,161,39.964421,116.338926,2009-05-04 06:58:00,0,05/04/2009,2021-09-18 06:58:58,63,2009,4,5,6,2009-05-04 06:00:00,06:00:00,6,Weekend,1
162,162,39.939507,116.347978,2009-05-04 07:08:00,0,05/04/2009,2021-09-18 07:08:13,62,2009,4,5,7,2009-05-04 07:00:00,07:00:00,6,Weekend,1
163,163,39.940638,116.378304,2009-05-04 07:59:00,0,05/04/2009,2021-09-18 07:59:58,77,2009,4,5,7,2009-05-04 07:00:00,07:00:00,6,Weekend,1
164,164,39.937569,116.39001,2009-05-04 08:59:00,0,05/04/2009,2021-09-18 08:59:58,77,2009,4,5,8,2009-05-04 08:00:00,08:00:00,6,Weekend,1
165,165,39.940809,116.37408,2009-05-04 09:59:00,0,05/04/2009,2021-09-18 09:59:58,77,2009,4,5,9,2009-05-04 09:00:00,09:00:00,6,Weekend,1
166,166,39.944529,116.375662,2009-05-04 10:13:00,0,05/04/2009,2021-09-18 10:13:53,77,2009,4,5,10,2009-05-04 10:00:00,10:00:00,6,Weekend,1
167,167,39.932375,116.385851,2009-05-04 11:59:00,0,05/04/2009,2021-09-18 11:59:58,77,2009,4,5,11,2009-05-04 11:00:00,11:00:00,6,Weekend,1
168,168,39.931159,116.360447,2009-05-04 12:17:00,0,05/04/2009,2021-09-18 12:17:18,77,2009,4,5,12,2009-05-04 12:00:00,12:00:00,6,Weekend,1
169,169,39.959661,116.328854,2009-05-04 12:54:00,0,05/04/2009,2021-09-18 12:54:38,62,2009,4,5,12,2009-05-04 12:00:00,12:00:00,6,Weekend,1
170,170,39.97563,116.327595,2009-05-04 12:59:00,0,05/04/2009,2021-09-18 12:59:58,63,2009,4,5,12,2009-05-04 12:00:00,12:00:00,6,Weekend,1
171,171,40.009615,116.314869,2009-05-04 13:59:00,0,05/04/2009,2021-09-18 13:59:58,63,2009,4,5,13,2009-05-04 13:00:00,13:00:00,6,Weekend,1
172,172,40.009727,116.314711,2009-05-04 14:00:00,0,05/04/2009,2021-09-18 14:00:18,63,2009,4,5,14,2009-05-04 14:00:00,14:00:00,6,Weekend,1
173,173,39.984406,116.326824,2009-06-04 02:59:00,0,06/04/2009,2021-09-18 02:59:57,63,2009,4,6,2,2009-06-04 02:00:00,02:00:00,0,Weekend,1
174,174,39.985786,116.359593,2009-06-04 03:03:00,0,06/04/2009,2021-09-18 03:03:52,63,2009,4,6,3,2009-06-04 03:00:00,03:00:00,0,Weekend,1
175,175,39.998111,116.494534,2009-06-04 03:23:00,0,06/04/2009,2021-09-18 03:23:32,78,2009,4,6,3,2009-06-04 03:00:00,03:00:00,0,Weekend,1
176,176,40.062458,116.583269,2009-06-04 03:43:00,0,06/04/2009,2021-09-18 03:43:45,92,2009,4,6,3,2009-06-04 03:00:00,03:00:00,0,Weekend,1
177,177,40.079176,116.587325,2009-06-04 03:56:00,0,06/04/2009,2021-09-18 03:56:35,93,2009,4,6,3,2009-06-04 03:00:00,03:00:00,0,Weekend,1
178,178,40.063522,116.582891,2009-06-04 04:47:00,0,06/04/2009,2021-09-18 04:47:00,93,2009,4,6,4,2009-06-04 04:00:00,04:00:00,0,Weekend,1
179,179,39.999317,116.495605,2009-06-04 04:56:00,0,06/04/2009,2021-09-18 04:56:20,92,2009,4,6,4,2009-06-04 04:00:00,04:00:00,0,Weekend,1
180,180,39.971762,116.463575,2009-06-04 04:59:00,0,06/04/2009,2021-09-18 04:59:55,78,2009,4,6,4,2009-06-04 04:00:00,04:00:00,0,Weekend,1
181,181,39.986038,116.36115,2009-06-04 05:12:00,0,06/04/2009,2021-09-18 05:12:15,78,2009,4,6,5,2009-06-04 05:00:00,05:00:00,0,Weekend,1
182,182,40.007744,116.319658,2009-06-04 05:59:00,0,06/04/2009,2021-09-18 05:59:59,63,2009,4,6,5,2009-06-04 05:00:00,05:00:00,0,Weekend,1
183,183,40.006533,116.321199,2009-06-04 06:59:00,0,06/04/2009,2021-09-18 06:59:55,63,2009,4,6,6,2009-06-04 06:00:00,06:00:00,0,Weekend,1
184,184,40.00037,116.327462,2009-06-04 07:06:00,0,06/04/2009,2021-09-18 07:06:50,63,2009,4,6,7,2009-06-04 07:00:00,07:00:00,0,Weekend,1
185,185,39.991541,116.328237,2009-06-04 08:11:00,0,06/04/2009,2021-09-18 08:11:36,63,2009,4,6,8,2009-06-04 08:00:00,08:00:00,0,Weekend,1
186,186,39.991676,116.326932,2009-06-04 09:57:00,0,06/04/2009,2021-09-18 09:57:57,63,2009,4,6,9,2009-06-04 09:00:00,09:00:00,0,Weekend,1
187,187,40.000465,116.327302,2009-06-04 10:45:00,0,06/04/2009,2021-09-18 10:45:22,63,2009,4,6,10,2009-06-04 10:00:00,10:00:00,0,Weekend,1
216,216,39.999979,116.327306,2009-12-04 00:59:00,0,12/04/2009,2021-09-18 00:59:20,63,2009,4,12,0,2009-12-04 00:00:00,00:00:00,6,Weekend,1
217,217,39.994921,116.298255,2009-12-04 07:59:00,0,12/04/2009,2021-09-18 07:59:59,63,2009,4,12,7,2009-12-04 07:00:00,07:00:00,6,Weekend,1
218,218,39.960145,116.268932,2009-12-04 08:11:00,0,12/04/2009,2021-09-18 08:11:09,63,2009,4,12,8,2009-12-04 08:00:00,08:00:00,6,Weekend,1
219,219,39.895756,116.226746,2009-12-04 08:27:00,0,12/04/2009,2021-09-18 08:27:04,62,2009,4,12,8,2009-12-04 08:00:00,08:00:00,6,Weekend,1
220,220,39.856858,116.213468,2009-12-04 08:32:00,0,12/04/2009,2021-09-18 08:32:49,49,2009,4,12,8,2009-12-04 08:00:00,08:00:00,6,Weekend,1
221,221,39.837446,116.225635,2009-12-04 08:34:00,0,12/04/2009,2021-09-18 08:34:49,48,2009,4,12,8,2009-12-04 08:00:00,08:00:00,6,Weekend,1
222,222,39.762914,116.297326,2009-12-04 08:48:00,0,12/04/2009,2021-09-18 08:48:49,61,2009,4,12,8,2009-12-04 08:00:00,08:00:00,6,Weekend,1
223,223,39.76367,116.297464,2009-12-04 12:39:00,0,12/04/2009,2021-09-18 12:39:35,61,2009,4,12,12,2009-12-04 12:00:00,12:00:00,6,Weekend,1
224,224,39.856487,116.276967,2009-12-04 13:30:00,0,12/04/2009,2021-09-18 13:30:50,61,2009,4,12,13,2009-12-04 13:00:00,13:00:00,6,Weekend,1
225,225,39.959105,116.269392,2009-12-04 13:45:00,0,12/04/2009,2021-09-18 13:45:00,62,2009,4,12,13,2009-12-04 13:00:00,13:00:00,6,Weekend,1
226,226,39.990976,116.314962,2009-12-04 13:59:00,0,12/04/2009,2021-09-18 13:59:55,63,2009,4,12,13,2009-12-04 13:00:00,13:00:00,6,Weekend,1
227,227,40.000031,116.327296,2009-12-04 14:11:00,0,12/04/2009,2021-09-18 14:11:50,63,2009,4,12,14,2009-12-04 14:00:00,14:00:00,6,Weekend,1
228,228,40.011029,116.321866,2009-12-04 17:24:00,0,12/04/2009,2021-09-18 17:24:59,63,2009,4,12,17,2009-12-04 17:00:00,17:00:00,6,Weekend,1
229,229,39.999777,116.327033,2009-04-13 05:57:00,0,13/04/2009,2021-09-18 05:57:16,63,2009,4,13,5,2009-04-13 05:00:00,05:00:00,0,Weekend,1
230,230,39.996259,116.298993,2009-04-13 07:59:00,0,13/04/2009,2021-09-18 07:59:58,63,2009,4,13,7,2009-04-13 07:00:00,07:00:00,0,Weekend,1
231,231,39.960564,116.268895,2009-04-13 08:10:00,0,13/04/2009,2021-09-18 08:10:18,63,2009,4,13,8,2009-04-13 08:00:00,08:00:00,0,Weekend,1
232,232,39.923401,116.226344,2009-04-13 08:21:00,0,13/04/2009,2021-09-18 08:21:28,62,2009,4,13,8,2009-04-13 08:00:00,08:00:00,0,Weekend,1
233,233,39.857432,116.213062,2009-04-13 08:29:00,0,13/04/2009,2021-09-18 08:29:18,49,2009,4,13,8,2009-04-13 08:00:00,08:00:00,0,Weekend,1
234,234,39.837509,116.225625,2009-04-13 08:31:00,0,13/04/2009,2021-09-18 08:31:08,48,2009,4,13,8,2009-04-13 08:00:00,08:00:00,0,Weekend,1
235,235,39.762742,116.297222,2009-04-13 08:43:00,0,13/04/2009,2021-09-18 08:43:58,61,2009,4,13,8,2009-04-13 08:00:00,08:00:00,0,Weekend,1
236,236,39.763429,116.297492,2009-04-13 12:46:00,0,13/04/2009,2021-09-18 12:46:38,61,2009,4,13,12,2009-04-13 12:00:00,12:00:00,0,Weekend,1
237,237,39.855971,116.276969,2009-04-13 13:30:00,0,13/04/2009,2021-09-18 13:30:58,61,2009,4,13,13,2009-04-13 13:00:00,13:00:00,0,Weekend,1
238,238,39.959921,116.269189,2009-04-13 13:44:00,0,13/04/2009,2021-09-18 13:44:13,62,2009,4,13,13,2009-04-13 13:00:00,13:00:00,0,Weekend,1
239,239,39.991367,116.32711,2009-04-13 13:59:00,0,13/04/2009,2021-09-18 13:59:58,63,2009,4,13,13,2009-04-13 13:00:00,13:00:00,0,Weekend,1
240,240,40.011042,116.321849,2009-04-13 14:54:00,0,13/04/2009,2021-09-18 14:54:28,63,2009,4,13,14,2009-04-13 14:00:00,14:00:00,0,Weekend,1
241,241,39.993476,116.326476,2009-04-13 21:55:00,0,13/04/2009,2021-09-18 21:55:20,63,2009,4,13,21,2009-04-13 21:00:00,21:00:00,0,Weekend,1
242,242,39.960138,116.268914,2009-04-13 22:19:00,0,13/04/2009,2021-09-18 22:19:55,63,2009,4,13,22,2009-04-13 22:00:00,22:00:00,0,Weekend,1
243,243,39.923407,116.225949,2009-04-13 22:31:00,0,13/04/2009,2021-09-18 22:31:00,62,2009,4,13,22,2009-04-13 22:00:00,22:00:00,0,Weekend,1
244,244,39.856637,116.213675,2009-04-13 22:38:00,0,13/04/2009,2021-09-18 22:38:45,49,2009,4,13,22,2009-04-13 22:00:00,22:00:00,0,Weekend,1
245,245,39.838094,116.225146,2009-04-13 22:40:00,0,13/04/2009,2021-09-18 22:40:25,48,2009,4,13,22,2009-04-13 22:00:00,22:00:00,0,Weekend,1
246,246,39.762721,116.297264,2009-04-13 22:53:00,0,13/04/2009,2021-09-18 22:53:35,61,2009,4,13,22,2009-04-13 22:00:00,22:00:00,0,Weekend,1
283,283,39.99962,116.323016,2009-04-19 00:59:00,0,19/04/2009,2021-09-18 00:59:56,63,2009,4,19,0,2009-04-19 00:00:00,00:00:00,6,Weekend,1
284,284,39.974925,116.333818,2009-04-19 01:16:00,0,19/04/2009,2021-09-18 01:16:01,63,2009,4,19,1,2009-04-19 01:00:00,01:00:00,6,Weekend,1
285,285,39.885039,116.471121,2009-04-19 02:59:00,0,19/04/2009,2021-09-18 02:59:56,77,2009,4,19,2,2009-04-19 02:00:00,02:00:00,6,Weekend,1
286,286,39.906724,116.494831,2009-04-19 03:23:00,0,19/04/2009,2021-09-18 03:23:36,77,2009,4,19,3,2009-04-19 03:00:00,03:00:00,6,Weekend,1
287,287,39.916412,116.629779,2009-04-19 03:34:00,0,19/04/2009,2021-09-18 03:34:51,91,2009,4,19,3,2009-04-19 03:00:00,03:00:00,6,Weekend,1
288,288,39.936257,116.764546,2009-04-19 03:50:00,0,19/04/2009,2021-09-18 03:50:56,106,2009,4,19,3,2009-04-19 03:00:00,03:00:00,6,Weekend,1
289,289,39.945544,116.788826,2009-04-19 03:59:00,0,19/04/2009,2021-09-18 03:59:56,121,2009,4,19,3,2009-04-19 03:00:00,03:00:00,6,Weekend,1
290,290,39.948241,116.783568,2009-04-19 04:58:00,0,19/04/2009,2021-09-18 04:58:21,121,2009,4,19,4,2009-04-19 04:00:00,04:00:00,6,Weekend,1
291,291,39.936477,116.764859,2009-04-19 10:29:00,0,19/04/2009,2021-09-18 10:29:12,121,2009,4,19,10,2009-04-19 10:00:00,10:00:00,6,Weekend,1
292,292,39.917013,116.629962,2009-04-19 10:47:00,0,19/04/2009,2021-09-18 10:47:02,106,2009,4,19,10,2009-04-19 10:00:00,10:00:00,6,Weekend,1
293,293,39.906798,116.496228,2009-04-19 10:57:00,0,19/04/2009,2021-09-18 10:57:57,91,2009,4,19,10,2009-04-19 10:00:00,10:00:00,6,Weekend,1
294,294,39.90711,116.471742,2009-04-19 10:59:00,0,19/04/2009,2021-09-18 10:59:57,77,2009,4,19,10,2009-04-19 10:00:00,10:00:00,6,Weekend,1
295,295,39.907314,116.470796,2009-04-19 11:03:00,0,19/04/2009,2021-09-18 11:03:27,77,2009,4,19,11,2009-04-19 11:00:00,11:00:00,6,Weekend,1
296,296,39.991752,116.330423,2009-04-19 11:59:00,0,19/04/2009,2021-09-18 11:59:57,63,2009,4,19,11,2009-04-19 11:00:00,11:00:00,6,Weekend,1
297,297,40.000431,116.326544,2009-04-19 12:13:00,0,19/04/2009,2021-09-18 12:13:02,63,2009,4,19,12,2009-04-19 12:00:00,12:00:00,6,Weekend,1
298,298,40.001541,116.322209,2009-04-19 17:59:00,0,19/04/2009,2021-09-18 17:59:55,63,2009,4,19,17,2009-04-19 17:00:00,17:00:00,6,Weekend,1
299,299,40.008067,116.31999,2009-04-19 18:21:00,0,19/04/2009,2021-09-18 18:21:35,63,2009,4,19,18,2009-04-19 18:00:00,18:00:00,6,Weekend,1
300,300,40.000661,116.327067,2009-04-20 01:52:00,0,20/04/2009,2021-09-18 01:52:09,63,2009,4,20,1,2009-04-20 01:00:00,01:00:00,0,Weekend,1
301,301,40.000075,116.327267,2009-04-20 04:37:00,0,20/04/2009,2021-09-18 04:37:52,63,2009,4,20,4,2009-04-20 04:00:00,04:00:00,0,Weekend,1
302,302,40.010571,116.322702,2009-04-20 09:59:00,0,20/04/2009,2021-09-18 09:59:07,63,2009,4,20,9,2009-04-20 09:00:00,09:00:00,0,Weekend,1
303,303,39.999979,116.327348,2009-04-20 10:26:00,0,20/04/2009,2021-09-18 10:26:37,63,2009,4,20,10,2009-04-20 10:00:00,10:00:00,0,Weekend,1
304,304,40.00965,116.315161,2009-04-20 15:42:00,0,20/04/2009,2021-09-18 15:42:04,63,2009,4,20,15,2009-04-20 15:00:00,15:00:00,0,Weekend,1
305,305,40.004981,116.320886,2009-04-20 23:57:00,0,20/04/2009,2021-09-18 23:57:16,63,2009,4,20,23,2009-04-20 23:00:00,23:00:00,0,Weekend,1
346,346,39.946799,116.792512,2009-04-26 03:59:00,0,26/04/2009,2021-09-18 03:59:59,121,2009,4,26,3,2009-04-26 03:00:00,03:00:00,6,Weekend,1
347,347,39.948629,116.798245,2009-04-26 04:59:00,0,26/04/2009,2021-09-18 04:59:59,121,2009,4,26,4,2009-04-26 04:00:00,04:00:00,6,Weekend,1
348,348,39.948631,116.798266,2009-04-26 05:05:00,0,26/04/2009,2021-09-18 05:05:59,121,2009,4,26,5,2009-04-26 05:00:00,05:00:00,6,Weekend,1
349,349,39.947219,116.79956,2009-04-26 06:59:00,0,26/04/2009,2021-09-18 06:59:59,121,2009,4,26,6,2009-04-26 06:00:00,06:00:00,6,Weekend,1
350,350,39.936413,116.764749,2009-04-26 07:10:00,0,26/04/2009,2021-09-18 07:10:15,121,2009,4,26,7,2009-04-26 07:00:00,07:00:00,6,Weekend,1
351,351,39.917222,116.630455,2009-04-26 07:27:00,0,26/04/2009,2021-09-18 07:27:25,106,2009,4,26,7,2009-04-26 07:00:00,07:00:00,6,Weekend,1
352,352,39.906813,116.495535,2009-04-26 07:42:00,0,26/04/2009,2021-09-18 07:42:10,91,2009,4,26,7,2009-04-26 07:00:00,07:00:00,6,Weekend,1
353,353,39.907373,116.470899,2009-04-26 07:49:00,0,26/04/2009,2021-09-18 07:49:15,77,2009,4,26,7,2009-04-26 07:00:00,07:00:00,6,Weekend,1
354,354,39.999988,116.327339,2009-04-26 08:59:00,0,26/04/2009,2021-09-18 08:59:55,63,2009,4,26,8,2009-04-26 08:00:00,08:00:00,6,Weekend,1
355,355,39.991766,116.317416,2009-04-26 09:37:00,0,26/04/2009,2021-09-18 09:37:25,63,2009,4,26,9,2009-04-26 09:00:00,09:00:00,6,Weekend,1
356,356,40.000051,116.327146,2009-04-26 10:24:00,0,26/04/2009,2021-09-18 10:24:20,63,2009,4,26,10,2009-04-26 10:00:00,10:00:00,6,Weekend,1
357,357,40.002818,116.322011,2009-04-26 17:59:00,0,26/04/2009,2021-09-18 17:59:58,63,2009,4,26,17,2009-04-26 17:00:00,17:00:00,6,Weekend,1
358,358,40.009996,116.315212,2009-04-26 18:08:00,0,26/04/2009,2021-09-18 18:08:13,63,2009,4,26,18,2009-04-26 18:00:00,18:00:00,6,Weekend,1
359,359,40.000131,116.326898,2009-04-27 01:14:00,0,27/04/2009,2021-09-18 01:14:00,63,2009,4,27,1,2009-04-27 01:00:00,01:00:00,0,Weekend,1
360,360,40.005677,116.326014,2009-04-27 03:59:00,0,27/04/2009,2021-09-18 03:59:40,63,2009,4,27,3,2009-04-27 03:00:00,03:00:00,0,Weekend,1
361,361,40.010205,116.314762,2009-04-27 05:14:00,0,27/04/2009,2021-09-18 05:14:16,63,2009,4,27,5,2009-04-27 05:00:00,05:00:00,0,Weekend,1
362,362,39.999934,116.32764,2009-04-27 06:16:00,0,27/04/2009,2021-09-18 06:16:48,63,2009,4,27,6,2009-04-27 06:00:00,06:00:00,0,Weekend,1
363,363,40.010106,116.320328,2009-04-27 09:59:00,0,27/04/2009,2021-09-18 09:59:57,63,2009,4,27,9,2009-04-27 09:00:00,09:00:00,0,Weekend,1
364,364,40.003207,116.326138,2009-04-27 10:34:00,0,27/04/2009,2021-09-18 10:34:28,63,2009,4,27,10,2009-04-27 10:00:00,10:00:00,0,Weekend,1
365,365,40.007738,116.31969,2009-04-27 12:47:00,0,27/04/2009,2021-09-18 12:47:44,63,2009,4,27,12,2009-04-27 12:00:00,12:00:00,0,Weekend,1
366,366,39.999952,116.324547,2009-04-27 13:59:00,0,27/04/2009,2021-09-18 13:59:59,63,2009,4,27,13,2009-04-27 13:00:00,13:00:00,0,Weekend,1
367,367,40.000195,116.327167,2009-04-27 14:03:00,0,27/04/2009,2021-09-18 14:03:24,63,2009,4,27,14,2009-04-27 14:00:00,14:00:00,0,Weekend,1
368,368,40.000236,116.324582,2009-04-27 21:59:00,0,27/04/2009,2021-09-18 21:59:56,63,2009,4,27,21,2009-04-27 21:00:00,21:00:00,0,Weekend,1
369,369,40.007873,116.319703,2009-04-27 22:34:00,0,27/04/2009,2021-09-18 22:34:22,63,2009,4,27,22,2009-04-27 22:00:00,22:00:00,0,Weekend,1
427,427,39.985283,116.320916,2009-03-05 03:59:00,0,03/05/2009,2021-09-18 03:59:56,63,2009,5,3,3,2009-03-05 03:00:00,03:00:00,6,Weekend,1
428,428,39.985873,116.360154,2009-03-05 04:22:00,0,03/05/2009,2021-09-18 04:22:31,63,2009,5,3,4,2009-03-05 04:00:00,04:00:00,6,Weekend,1
429,429,39.998569,116.494873,2009-03-05 04:35:00,0,03/05/2009,2021-09-18 04:35:36,78,2009,5,3,4,2009-03-05 04:00:00,04:00:00,6,Weekend,1
430,430,40.06236,116.583262,2009-03-05 04:56:00,0,03/05/2009,2021-09-18 04:56:21,92,2009,5,3,4,2009-03-05 04:00:00,04:00:00,6,Weekend,1
431,431,40.078388,116.587562,2009-03-05 04:59:00,0,03/05/2009,2021-09-18 04:59:56,93,2009,5,3,4,2009-03-05 04:00:00,04:00:00,6,Weekend,1
432,432,40.079752,116.586693,2009-03-05 05:59:00,0,03/05/2009,2021-09-18 05:59:57,93,2009,5,3,5,2009-03-05 05:00:00,05:00:00,6,Weekend,1
433,433,40.063209,116.583119,2009-03-05 06:12:00,0,03/05/2009,2021-09-18 06:12:07,93,2009,5,3,6,2009-03-05 06:00:00,06:00:00,6,Weekend,1
434,434,39.999639,116.495993,2009-03-05 06:21:00,0,03/05/2009,2021-09-18 06:21:12,92,2009,5,3,6,2009-03-05 06:00:00,06:00:00,6,Weekend,1
435,435,39.985901,116.360688,2009-03-05 06:37:00,0,03/05/2009,2021-09-18 06:37:47,78,2009,5,3,6,2009-03-05 06:00:00,06:00:00,6,Weekend,1
436,436,39.999963,116.327383,2009-03-05 06:55:00,0,03/05/2009,2021-09-18 06:55:17,63,2009,5,3,6,2009-03-05 06:00:00,06:00:00,6,Weekend,1
437,437,40.007035,116.320837,2009-03-05 09:53:00,0,03/05/2009,2021-09-18 09:53:55,63,2009,5,3,9,2009-03-05 09:00:00,09:00:00,6,Weekend,1
438,438,39.999877,116.327505,2009-03-05 10:54:00,0,03/05/2009,2021-09-18 10:54:07,63,2009,5,3,10,2009-03-05 10:00:00,10:00:00,6,Weekend,1
439,439,39.994789,116.320784,2009-04-05 02:39:00,0,04/05/2009,2021-09-18 02:39:11,63,2009,5,4,2,2009-04-05 02:00:00,02:00:00,0,Weekend,1
440,440,40.007748,116.319715,2009-04-05 03:59:00,0,04/05/2009,2021-09-18 03:59:55,63,2009,5,4,3,2009-04-05 03:00:00,03:00:00,0,Weekend,1
441,441,40.006188,116.325746,2009-04-05 04:05:00,0,04/05/2009,2021-09-18 04:05:35,63,2009,5,4,4,2009-04-05 04:00:00,04:00:00,0,Weekend,1
442,442,40.007798,116.319823,2009-04-05 05:21:00,0,04/05/2009,2021-09-18 05:21:25,63,2009,5,4,5,2009-04-05 05:00:00,05:00:00,0,Weekend,1
443,443,39.999942,116.328013,2009-04-05 08:20:00,0,04/05/2009,2021-09-18 08:20:27,63,2009,5,4,8,2009-04-05 08:00:00,08:00:00,0,Weekend,1
444,444,40.005604,116.322183,2009-04-05 09:59:00,0,04/05/2009,2021-09-18 09:59:57,63,2009,5,4,9,2009-04-05 09:00:00,09:00:00,0,Weekend,1
445,445,40.000181,116.327438,2009-04-05 10:21:00,0,04/05/2009,2021-09-18 10:21:23,63,2009,5,4,10,2009-04-05 10:00:00,10:00:00,0,Weekend,1
446,446,40.007537,116.319815,2009-04-05 20:45:00,0,04/05/2009,2021-09-18 20:45:50,63,2009,5,4,20,2009-04-05 20:00:00,20:00:00,0,Weekend,1
473,473,40.000404,116.327015,2009-10-05 02:15:00,0,10/05/2009,2021-09-18 02:15:06,63,2009,5,10,2,2009-10-05 02:00:00,02:00:00,6,Weekend,1
474,474,39.996181,116.329366,2009-10-05 05:57:00,0,10/05/2009,2021-09-18 05:57:56,63,2009,5,10,5,2009-10-05 05:00:00,05:00:00,6,Weekend,1
475,475,40.000451,116.327437,2009-10-05 06:20:00,0,10/05/2009,2021-09-18 06:20:11,63,2009,5,10,6,2009-10-05 06:00:00,06:00:00,6,Weekend,1
476,476,40.008153,116.319877,2009-10-05 22:27:00,0,10/05/2009,2021-09-18 22:27:12,63,2009,5,10,22,2009-10-05 22:00:00,22:00:00,6,Weekend,1
